20260630                                                                        _____________________________________________________
+S-LBFL ISL 1       30/06/26                             0.00                                                                        
+S-LBFL 1MTH        30/06/26                             0.00                                                                        
+S-LCR L10          30/06/26                             0.00                                                                        
+S-LCR L142         30/06/26                    43,029,035.79                                                                        
+S-LCR L174         30/06/26                   498,025,377.60                                                                        
+S-LCR L184         30/06/26                             0.00                                                                        
+S-LCR L32          30/06/26                         1,000.00                                                                        
+S-LEASE ROUA       30/06/26                    24,242,220.65-                                                                       
+S-LOANCONTRO       30/06/26                             0.00                                                                        
+S-LOS RECKAP       30/06/26                             0.00                                                                        
+S-LOSS PAYB        30/06/26                             0.00                                                                        
+S-MARGIN COL       30/06/26                     3,112,119.57                                                                        
+S-MB FIX           30/06/26                   387,950,000.00-                                                                       
+S-MB O/N           30/06/26                    17,950,000.00-                                                                       
+S-MBFL             30/06/26                    57,241,185.96                                                                        
+S-MBFL 1MTH        30/06/26                             0.00                                                                        
+S-MGI              30/06/26                   130,000,000.00                                                                        
+S-MGI ACCRE        30/06/26                       416,399.96                                                                        
+S-MGI D            30/06/26                    50,000,000.00                                                                        
+S-MGI INT          30/06/26                       750,620.17                                                                        
+S-MGI(A) INT       30/06/26                     2,194,740.66                                                                        
+S-MGI(AFS)         30/06/26                   237,700,000.00                                                                        
+S-MGIUNREAL        30/06/26                        42,496.74-                                                                       
+S-MGS              30/06/26                   120,000,000.00                                                                        
+S-MGS T            30/06/26                    70,000,000.00                                                                        
+S-MGS(A)           30/06/26                   610,000,000.00                                                                        
+S-MGS(A) INT       30/06/26                     4,166,569.15                                                                        
+S-MGSRR            30/06/26                             0.00                                                                        
+S-MGSRRAFS         30/06/26                   476,859,014.75-                                                                       
+S-MGSRRHFT         30/06/26                             0.00                                                                        
+S-MGSRRHTM         30/06/26                             0.00                                                                        
+S-MM CTRAC         30/06/26                             0.00                                                                        
+S-MTB IRIA         30/06/26                             0.00                                                                        
+S-MTB T            30/06/26                             0.00                                                                        
+S-MTB UNREAL       30/06/26                             0.00                                                                        
+S-MTN              30/06/26                             0.00                                                                        
+S-MTN LN           30/06/26                   129,860,000.00                                                                        
+S-MTN(I)           30/06/26                             0.00                                                                        
+S-MV               30/06/26                        71,501.50                                                                        
+S-NCD(D) ISL       30/06/26                             0.00                                                                        
+S-NCD(D) ST        30/06/26                             0.00                                                                        
+S-NCD(D) STI       30/06/26                             0.00                                                                        
+S-NCD(D)AMOR       30/06/26                             0.00                                                                        
+S-NCD(D)I IN       30/06/26                             0.00                                                                        
+S-NCD(D)URIS       30/06/26                             0.00                                                                        
+S-NCD(D)UR2        30/06/26                             0.00                                                                        
+S-NCDLT            30/06/26                             0.00                                                                        
+S-NCDLTREPO        30/06/26                             0.00                                                                        
+S-NCDST            30/06/26                             0.00                                                                        
+S-NCDSTREPO        30/06/26                             0.00                                                                        
+S-NCDZ             30/06/26                             0.00                                                                        
+S-NCDZREPO         30/06/26                             0.00                                                                        
+S-NID INT AF       30/06/26                             0.00                                                                        
+S-NID(AFS)         30/06/26                             0.00                                                                        
+S-NIDISL(A)        30/06/26                             0.00                                                                        
+S-NIDST            30/06/26                             0.00                                                                        
+S-NIDSTREPO        30/06/26                             0.00                                                                        
+S-NIDZEREPO        30/06/26                             0.00                                                                        
+S-NOM(A)/(T)       30/06/26                        20,000.00                                                                        
+S-O/E              30/06/26                       873,756.22                                                                        
+S-O/S PUR C        30/06/26                   146,335,145.37                                                                        
+S-OS SALES         30/06/26                   124,107,128.00-                                                                       
+S-OTH LIAB         30/06/26                             0.00                                                                        
+S-OTHPROV-DF       30/06/26                             0.00                                                                        
+S-PACC             30/06/26                             0.00                                                                        
+S-PACCA            30/06/26                             0.00                                                                        
+S-PACCAFSISL       30/06/26                     1,292,564.33                                                                        
+S-PACCAFSMGS       30/06/26                             0.00                                                                        
+S-PACCAFSNID       30/06/26                             0.00                                                                        
+S-PACCAFSPDS       30/06/26                             0.00                                                                        
+S-PACCAGNT         30/06/26                             0.00                                                                        
+S-PACCANIDST       30/06/26                             0.00                                                                        
+S-PACCDSISL        30/06/26                             0.00                                                                        
+S-PACCISCAGN       30/06/26                             0.00                                                                        
+S-PB CA OTH        30/06/26                       498,891.70                                                                        
+S-PBB CUR          30/06/26                     9,157,558.39                                                                        
+S-PBNOMINEES       30/06/26                       632,500.00                                                                        
+S-PBS AESM         30/06/26                             0.00                                                                        
+S-PBS DFDEBT       30/06/26                             0.00                                                                        
+S-PBS DLRS         30/06/26                     4,247,755.38-                                                                       
+S-PBS PAYB         30/06/26                     2,158,733.69-                                                                       
+S-PBS SMDEBT       30/06/26                    43,029,035.79                                                                        
+S-PBS TA           30/06/26                             0.00                                                                        
+S-PDEPNSW          30/06/26                       246,043.51                                                                        
+S-PDEPRENO         30/06/26                             0.00                                                                        
+S-PDS              30/06/26                    25,000,000.00                                                                        
+S-PDS(A)           30/06/26                    40,000,000.00                                                                        
+S-PDS(A) INT       30/06/26                       421,008.22                                                                        
+S-PDS(D)           30/06/26                             0.00                                                                        
+S-PDS(D) INT       30/06/26                             0.00                                                                        
+S-PETTY CASH       30/06/26                         1,000.00                                                                        
+S-PFBDDCOL-A       30/06/26                       173,961.78-                                                                       
